LMB1D_IDcu,LMB1D_IDor,LMB1D_area,LMB3A_IDcu,LMB3A_Area,Area
295,651,66397352,4,1064709081,64896164
295,651,66397352,32,323346859,1355390
296,652,87623867,4,1064709081,82114645
296,652,87623867,32,323346859,5386439
297,653,87623867,4,1064709081,87623867
298,654,86162702,4,1064709081,86093523
299,655,83449824,4,1064709081,83403797
300,656,86548057,4,1064709081,86533411
301,657,51315871,4,1064709081,51032408
302,658,13974835,4,1064709081,13689321
303,667,28834291,18,1058895316,28681176
304,668,83936898,18,1058895316,83896172
305,669,87774608,18,1058895316,87774608
306,670,50474151,18,1058895316,50276770
307,682,23032179,4,1064709081,20446002
307,682,23032179,37,968849309,2414060
308,683,26181405,4,1064709081,26018128
309,685,9915188,4,1064709081,9809889
310,686,24519766,4,1064709081,24392002
311,689,7719452,4,1064709081,7563593
312,563,8277488,46,943508243,8058422
313,530,22063394,46,943508243,21805346
314,597,26862278,46,943508243,26699572
315,564,82721239,46,943508243,82591198
316,531,84251303,46,943508243,84159309
317,532,52547341,46,943508243,33339430
317,532,52547341,84,247483370,18999565
318,466,14857027,38,158915449,14772677
319,631,20703444,46,943508243,20535759
320,598,87472852,46,943508243,87472852
321,565,87321563,46,943508243,87321563
322,735,22044469,18,1058895316,21801318
323,736,39207350,18,1058895316,38992778
