LMB1D_IDcu,LMB1D_IDor,LMB1D_area,LMB3A_IDcu,LMB3A_Area,Area
100,380,86408109,80,366895138,44367659
101,381,86408109,91,605207306,58989457
101,381,86408109,40,570630459,1888624
101,381,86408109,80,366895138,25532650
102,382,86408109,91,605207306,72977217
102,382,86408109,47,215746183,134791
102,382,86408109,80,366895138,13337559
103,383,86408109,91,605207306,45797705
103,383,86408109,65,2681638212,31356232
103,383,86408109,80,366895138,9265462
104,334,86254917,41,362785435,55647905
104,334,86254917,67,218545247,30518965
105,333,52067939,41,362785435,30524491
105,333,52067939,67,218545247,21352274
106,384,86408109,65,2681638212,86408109
107,385,71663390,65,2681638212,71522650
108,386,41166942,65,2681638212,41007253
109,387,74328505,65,2681638212,74185727
110,388,43269275,65,2681638212,42925432
111,335,86254917,16,144757280,13716345
111,335,86254917,41,362785435,58369678
111,335,86254917,64,76265305,11591179
111,335,86254917,67,218545247,2543693
112,336,59087012,16,144757280,20416841
112,336,59087012,41,362785435,38423729
113,337,6656946,57,784469194,6522749
114,338,76388007,57,784469194,74253358
114,338,76388007,58,175782618,2051348
115,339,86254917,57,784469194,63467846
115,339,86254917,58,175782618,22851136
116,340,86254917,48,190536836,9233527
116,340,86254917,57,784469194,66011038
116,340,86254917,58,175782618,11032947
117,341,86254917,48,190536836,55339222
117,341,86254917,57,784469194,15622883
117,341,86254917,72,1319802809,15357844
118,342,86254917,12,198848160,54939
118,342,86254917,48,190536836,25100994
118,342,86254917,40,570630459,5667025
118,342,86254917,72,1319802809,55420987
119,343,86254917,12,198848160,6891489
119,343,86254917,48,190536836,28055
119,343,86254917,40,570630459,67470724
119,343,86254917,72,1319802809,11835964
120,344,86254917,12,198848160,3761505
120,344,86254917,40,570630459,74985295
120,344,86254917,72,1319802809,1990327
120,344,86254917,89,1783615937,5517770
121,345,86254917,40,570630459,74570984
121,345,86254917,74,183729366,834572
121,345,86254917,89,1783615937,10863439
122,346,86254917,40,570630459,62630345
122,346,86254917,89,1783615937,23575474
123,347,86254917,91,605207306,22086174
123,347,86254917,40,570630459,60503746
123,347,86254917,80,366895138,11582
123,347,86254917,89,1783615937,3653329
124,348,86254917,91,605207306,84810908
124,348,86254917,40,570630459,1445629
125,349,86254917,91,605207306,86254917
126,350,86254917,91,605207306,74287668
126,350,86254917,65,2681638212,11967017
